"Path","ServiceImport","DirectPrisma"
"D:\code\React\ERP\erp-nodejs\app\api\analytics\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\analytics\insights\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\audit\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\auth\[...nextauth]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\business-partners\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\activities\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\activities\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\campaigns\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\campaigns\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\contacts\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\contacts\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\leads\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\leads\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\opportunities\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\crm\opportunities\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\dashboard\init\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\documents\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\documents\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\events\stream\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\accounts\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\bank-accounts\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\bank-statements\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\bank-statements\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\bank-statements\[id]\match\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\budgets\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\budgets\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\cost-centres\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\cost-centres\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\currencies\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\currencies\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\fiscal-years\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\fiscal-years\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\fixed-assets\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\fixed-assets\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\fixed-assets\[id]\depreciate\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\fixed-assets\[id]\dispose\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\journal\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\journal\[id]\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\reports\ap-aging\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\reports\ar-aging\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\reports\balance-sheet\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\reports\pnl\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\reports\trial-balance\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\tax-rates\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\finance\tax-rates\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\courier\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\courier\[id]\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\deliveries\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\deliveries\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\drivers\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\drivers\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\orders\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\orders\[id]\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\orders\[id]\approve\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\orders\[id]\cancel\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\orders\[id]\deliver\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\orders\[id]\dispatch\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\pickups\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\pickups\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\returns\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\returns\[id]\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\settings\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\vehicles\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\fulfillment\vehicles\[id]\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\attendance\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\attendance\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\devices\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\devices\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\punch\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\sync\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\departments\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\designations\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employee-types\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employee-types\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\import\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\anonymise\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\documents\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\documents\[docId]\route.ts","N","Y"
